name,latitude,longitude,visited,successed,visitorder
大和ユビキタス学術研究館,35.70811,139.76266999999999,1,1,0
社会科学研究所庶務,35.71111,139.76129,0,0,0
カフェくろぎ ,35.70798,139.7627,1,0,1
ローソン春日門店,35.70767,139.76268000000002,1,1,2
産学連携プラザ,35.70858,139.76262,1,1,3
アントレプレナープラザ,35.708729999999996,139.76288,1,1,4
第二本部棟,35.70925,139.76318999999998,1,1,5
広報センター,35.708859999999994,139.76389,1,1,6
ローソン竜岡門店,35.70921,139.7641,1,1,7
東洋文化研究所,35.70893,139.76133000000002,1,1,8
総合博物館,35.7086,139.76119,1,1,9
医学部教育研究棟,35.70985,139.76238,1,1,10
薬学部・薬学系研究科,35.71033,139.76293,1,1,11
薬学部図書館,35.70985,139.7633,1,1,12
薬学系研究科庶務,35.7109,139.76221,1,1,13
医学と健康の博物館,35.710809999999995,139.76332,1,1,14
七徳堂,35.71123,139.76315,1,1,15
医学部１合館,35.70969,139.76178000000002,1,1,16
経済学部棟,35.71031,139.76138,1,0,17
総合図書館,35.711890000000004,139.76067,1,1,18
